STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-09,0,72,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-10,0,75,49,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-11,0,80,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-12,0,79,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-13,0,71,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-14,0,67,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-15,0,68,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-16,0,68,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-17,0,72,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-18,0,71,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-19,0,65,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-20,0,64,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-21,0,75,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-22,0,66,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-23,0,66,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-24,0,66,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-25,0,65,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-26,0,70,51,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-27,0,84,47,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-28,0,95,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-29,0,93,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-30,0,69,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-05-31,0,64,48,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-01,0,83,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-02,0,96,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-03,0,98,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-04,0,82,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-05,0,74,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-06,0,68,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-07,0,72,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-08,0,83,50,
